feature_set,model_group,method,ade,fde,num_samples,summary_path,plots_root,hidden_dim,num_layers,epochs,lr,dropout,alpha,d_model,nhead,dim_feedforward,raw_method,display_method
motion_yaw,lstm,lstm_hidden_128_layers_2,0.858370849858726,1.861397318890588,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/lstm/lstm_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw,128.0,2.0,100.0,0.001,0.1,,,,,lstm_hidden_128_layers_2,lstm_hidden_128_layers_2
motion_yaw,lstm,lstm_hidden_128_layers_3,0.8648231937576466,1.8652316953613823,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/lstm/lstm_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw,128.0,3.0,100.0,0.001,0.1,,,,,lstm_hidden_128_layers_3,lstm_hidden_128_layers_3
motion_yaw,gru,gru_hidden_128_layers_3,0.8729919499482176,1.8935206402318063,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw,128.0,3.0,100.0,0.001,0.1,,,,,gru_hidden_128_layers_3,gru_hidden_128_layers_3
motion_yaw,gru,gru_hidden_256_layers_1,0.876733978833892,1.923914263469421,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw,256.0,1.0,100.0,0.001,0.1,,,,,gru_hidden_256_layers_1,gru_hidden_256_layers_1
motion_yaw,lstm,lstm_hidden_128_layers_1,0.8884831092423568,1.943116677615432,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/lstm/lstm_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw,128.0,1.0,100.0,0.001,0.1,,,,,lstm_hidden_128_layers_1,lstm_hidden_128_layers_1
motion_yaw,lstm,lstm_hidden_256_layers_1,0.9195051130346572,1.9920801096463532,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/lstm/lstm_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw,256.0,1.0,100.0,0.001,0.1,,,,,lstm_hidden_256_layers_1,lstm_hidden_256_layers_1
motion_yaw,lstm,lstm_hidden_256_layers_2,0.9200198797585802,2.011150013539009,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/lstm/lstm_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw,256.0,2.0,100.0,0.001,0.1,,,,,lstm_hidden_256_layers_2,lstm_hidden_256_layers_2
motion_yaw,lstm,lstm_hidden_256_layers_3,0.9228206545178016,2.010697702468447,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/lstm/lstm_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw,256.0,3.0,100.0,0.001,0.1,,,,,lstm_hidden_256_layers_3,lstm_hidden_256_layers_3
motion_yaw,gru,gru_hidden_256_layers_2,0.924303480839378,2.000715476926416,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw,256.0,2.0,100.0,0.001,0.1,,,,,gru_hidden_256_layers_2,gru_hidden_256_layers_2
motion_yaw,gru,gru_hidden_128_layers_1,0.9315016879118048,2.015351229760034,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw,128.0,1.0,100.0,0.001,0.1,,,,,gru_hidden_128_layers_1,gru_hidden_128_layers_1
motion_yaw,transformer,transformer_d128_heads_4_layers_2_ff_256_lr_0p0003,0.9326313611659728,2.012749534675756,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/transformer/transformer_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw,,2.0,100.0,0.0003,0.1,,128.0,4.0,256.0,transformer_d128_heads_4_layers_2_ff_256_lr_0p0003,transformer_d128_heads_4_layers_2_ff_256_lr_0p0003
motion_yaw,gru,gru_hidden_256_layers_3,0.9433446707500314,2.016513174434129,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw,256.0,3.0,100.0,0.001,0.1,,,,,gru_hidden_256_layers_3,gru_hidden_256_layers_3
motion_yaw,lstm,lstm_hidden_64_layers_1,0.9439738576051736,2.056215047418556,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/lstm/lstm_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw,64.0,1.0,100.0,0.001,0.1,,,,,lstm_hidden_64_layers_1,lstm_hidden_64_layers_1
motion_yaw,gru,gru_hidden_64_layers_1,0.9640204551515952,2.1394111632649917,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw,64.0,1.0,100.0,0.001,0.1,,,,,gru_hidden_64_layers_1,gru_hidden_64_layers_1
