feature_set,model_group,method,ade,fde,num_samples,summary_path,plots_root,hidden_dim,num_layers,epochs,lr,dropout,alpha,d_model,nhead,dim_feedforward,raw_method,display_method
motion_yaw,lstm,lstm_hidden_128_layers_2,0.858370849858726,1.861397318890588,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/lstm/lstm_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw,128.0,2.0,100.0,0.001,0.1,,,,,lstm_hidden_128_layers_2,lstm_hidden_128_layers_2
motion_yaw,gru,gru_hidden_128_layers_3,0.8729919499482176,1.8935206402318063,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw,128.0,3.0,100.0,0.001,0.1,,,,,gru_hidden_128_layers_3,gru_hidden_128_layers_3
motion_yaw,transformer,transformer_d128_heads_4_layers_2_ff_256_lr_0p0003,0.9326313611659728,2.012749534675756,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/transformer/transformer_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw,,2.0,100.0,0.0003,0.1,,128.0,4.0,256.0,transformer_d128_heads_4_layers_2_ff_256_lr_0p0003,transformer_d128_heads_4_layers_2_ff_256_lr_0p0003
motion_yaw,mlp,mlp_hidden_256,1.020161380680458,2.283987212289172,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/mlp/mlp_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw,256.0,,100.0,0.001,,,,,,mlp_hidden_256,mlp_hidden_256
motion_yaw,linear_regression,linear_regression,1.1416428320014596,2.6140753069088203,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/linear_regression/linear_regression_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw,,,,,,1.0,,,,linear_regression,linear_regression
motion_yaw,constant_velocity,constant_velocity_last_step,1.152591207942378,2.6385461937492933,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/constant_velocity/constant_velocity_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw,,,,,,,,,,constant_velocity_last_step,constant_velocity_last_step
motion_yaw_map_agents,lstm,lstm_hidden_256_layers_2,0.6292839719376802,1.2779701861165285,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw_map_agents/lstm/lstm_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw_map_agents,256.0,2.0,100.0,0.001,0.1,,,,,lstm_hidden_256_layers_2,lstm_hidden_256_layers_2
motion_yaw_map_agents,gru,gru_hidden_256_layers_2,0.6826648142503638,1.3984340319974846,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw_map_agents/gru/gru_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw_map_agents,256.0,2.0,100.0,0.001,0.1,,,,,gru_hidden_256_layers_2,gru_hidden_256_layers_2
motion_yaw_map_agents,transformer,transformer_d128_heads_4_layers_2_ff_512_lr_0p0003,0.81359288970072,1.6773482349437308,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw_map_agents/transformer/transformer_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw_map_agents,,2.0,100.0,0.0003,0.1,,128.0,4.0,512.0,transformer_d128_heads_4_layers_2_ff_512_lr_0p0003,transformer_d128_heads_4_layers_2_ff_512_lr_0p0003
motion_yaw_map_agents,mlp,mlp_hidden_256,0.9265454630208708,2.027424565767764,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw_map_agents/mlp/mlp_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw_map_agents,256.0,,100.0,0.001,,,,,,mlp_hidden_256,mlp_hidden_256
motion_yaw_map_agents,constant_velocity,constant_velocity_last_step,1.152591207942378,2.6385461937492933,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw_map_agents/constant_velocity/constant_velocity_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw_map_agents,,,,,,,,,,constant_velocity_last_step,constant_velocity_last_step
motion_yaw_map_agents,linear_regression,linear_regression,1.2055881182446186,2.7949798043938987,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw_map_agents/linear_regression/linear_regression_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw_map_agents,,,,,,1.0,,,,linear_regression,linear_regression
xy_only,gru,gru_hidden_256_layers_3,0.9677293375901752,2.1439215129572733,704,/workspaces/nuscenes_trajectory_demo/outputs/results/gru/gru_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots,256.0,3.0,100.0,0.001,0.1,,,,,gru_hidden_256_layers_3,gru_hidden_256_layers_3
xy_only,lstm,lstm_hidden_128_layers_3,0.978107601697874,2.1808015158398617,704,/workspaces/nuscenes_trajectory_demo/outputs/results/lstm/lstm_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots,128.0,3.0,100.0,0.001,0.1,,,,,lstm_hidden_128_layers_3,lstm_hidden_128_layers_3
xy_only,transformer,transformer_d128_heads_4_layers_2_ff_512_lr_0p0003,1.1255490116891451,2.42494842040039,704,/workspaces/nuscenes_trajectory_demo/outputs/results/transformer/transformer_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots,,2.0,100.0,0.0003,0.1,,128.0,4.0,512.0,transformer_d128_heads_4_layers_2_ff_512_lr_0p0003,transformer_d128_heads_4_layers_2_ff_512_lr_0p0003
xy_only,constant_velocity,constant_velocity_last_step,1.152591207942378,2.6385461937492933,704,/workspaces/nuscenes_trajectory_demo/outputs/results/constant_velocity/constant_velocity_summary.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots,,,,,,,,,,constant_velocity_last_step,constant_velocity_last_step
