feature_set,model_group,method,ade,fde,num_samples,summary_path,hidden_dim,num_layers,epochs,lr,dropout,alpha,d_model,nhead,dim_feedforward,raw_method,display_method
motion_yaw,gru,gru_hidden_256_layers_2,0.9081681095121894,1.996961329701166,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_summary.csv,256.0,2.0,100.0,0.001,0.1,,,,,gru_hidden_256_layers_2,gru_hidden_256_layers_2
motion_yaw,lstm,lstm_hidden_128_layers_2,0.9410593313474568,2.014127468019565,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/lstm/lstm_summary.csv,128.0,2.0,100.0,0.001,0.1,,,,,lstm_hidden_128_layers_2,lstm_hidden_128_layers_2
motion_yaw,gru,gru_hidden_128_layers_3,0.9410988102926322,2.0303034295767164,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_summary.csv,128.0,3.0,100.0,0.001,0.1,,,,,gru_hidden_128_layers_3,gru_hidden_128_layers_3
motion_yaw,gru,gru_hidden_128_layers_2,0.9411167068385772,1.99577763921314,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_summary.csv,128.0,2.0,100.0,0.001,0.1,,,,,gru_hidden_128_layers_2,gru_hidden_128_layers_2
motion_yaw,lstm,lstm_hidden_128_layers_3,0.9591527961231556,2.06665666141833,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/lstm/lstm_summary.csv,128.0,3.0,100.0,0.001,0.1,,,,,lstm_hidden_128_layers_3,lstm_hidden_128_layers_3
motion_yaw,lstm,lstm_hidden_128_layers_1,0.9686057107200295,2.1070375389191955,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/lstm/lstm_summary.csv,128.0,1.0,100.0,0.001,0.1,,,,,lstm_hidden_128_layers_1,lstm_hidden_128_layers_1
motion_yaw,lstm,lstm_hidden_256_layers_3,0.9708680499673144,2.1060895979945515,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/lstm/lstm_summary.csv,256.0,3.0,100.0,0.001,0.1,,,,,lstm_hidden_256_layers_3,lstm_hidden_256_layers_3
motion_yaw,gru,gru_hidden_256_layers_3,0.9713602283313364,2.0930831980923275,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_summary.csv,256.0,3.0,100.0,0.001,0.1,,,,,gru_hidden_256_layers_3,gru_hidden_256_layers_3
motion_yaw,lstm,lstm_hidden_256_layers_2,0.9715189354981042,2.093700306421273,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/lstm/lstm_summary.csv,256.0,2.0,100.0,0.001,0.1,,,,,lstm_hidden_256_layers_2,lstm_hidden_256_layers_2
motion_yaw,gru,gru_hidden_256_layers_1,0.9825113681753548,2.0496207559600323,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_summary.csv,256.0,1.0,100.0,0.001,0.1,,,,,gru_hidden_256_layers_1,gru_hidden_256_layers_1
motion_yaw,transformer,transformer_d128_heads_4_layers_2_ff_256_lr_0p0003,0.9898674298813356,2.145681631505299,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/transformer/transformer_summary.csv,,2.0,100.0,0.0003,0.1,,128.0,4.0,256.0,transformer_d128_heads_4_layers_2_ff_256_lr_0p0003,transformer_d128_heads_4_layers_2_ff_256_lr_0p0003
