sample_idx,min_ade,min_fde,best_ade_k,best_fde_k,conf_ade,conf_fde,conf_k,conf_prob
577,0.054549504071474075,0.02933327481150627,5,5,0.14562208950519562,0.2152281552553177,1,0.6179399490356445
2895,2.6879055500030518,7.36492395401001,3,3,2.6879055500030518,7.36492395401001,3,0.6029594540596008
2264,0.4136803150177002,0.24512644112110138,4,4,0.630247950553894,3.9863083362579346,1,0.8586670756340027
2472,0.10194510221481323,0.146409809589386,1,1,0.10194510221481323,0.146409809589386,1,0.51826012134552
1372,0.10045973211526871,0.09523673355579376,1,1,0.10045973211526871,0.09523673355579376,1,0.816452145576477
3101,0.08892311900854111,0.0901205763220787,1,1,0.08892311900854111,0.0901205763220787,1,0.9707414507865906
2559,0.06297433376312256,0.03921949490904808,1,1,0.06297433376312256,0.03921949490904808,1,0.8128517270088196
1470,0.11053305119276047,0.1345347911119461,1,1,0.11053305119276047,0.1345347911119461,1,0.7913618087768555
125,0.02424001693725586,0.048195257782936096,1,1,0.02424001693725586,0.048195257782936096,1,0.9581406712532043
1005,0.21099430322647095,0.3908429443836212,1,1,0.21099430322647095,0.3908429443836212,1,0.5486705899238586
3310,0.8437256217002869,1.7721116542816162,3,3,0.8437256217002869,1.7721116542816162,3,0.9347396492958069
2420,0.11013195663690567,0.11676705628633499,5,5,0.11013195663690567,0.11676705628633499,5,0.9965698719024658
3423,0.04873299598693848,0.08110342919826508,1,1,0.04873299598693848,0.08110342919826508,1,0.9492003917694092
3012,0.046274472028017044,0.09821414947509766,1,1,0.046274472028017044,0.09821414947509766,1,0.9970498085021973
1870,2.0538370609283447,2.758324384689331,3,3,2.0538370609283447,2.758324384689331,3,0.9623587727546692
2256,0.12018585205078125,0.2362600564956665,5,5,0.2534864842891693,0.2910655736923218,1,0.7998299598693848
3207,0.1078931987285614,0.12234339118003845,1,1,0.1078931987285614,0.12234339118003845,1,0.7480254769325256
2787,0.11397495120763779,0.1390654295682907,1,1,0.11397495120763779,0.1390654295682907,1,0.6761068105697632
1947,0.23394156992435455,0.37687069177627563,1,1,2.7990896701812744,7.07974100112915,4,0.5310269594192505
